[(0, 0, 0), (0, 255, 0), (255, 0, 0), (0, 0, 255), (255, 255, 0), (0, 255, 255), (255, 0, 255), (255, 255, 255)]
width and height 750 500
x,  1 y,  536 newpix, (0, 0, 0)
x,  1 y,  537 newpix, (0, 0, 0)
x,  1 y,  538 newpix, (0, 0, 0)
x,  1 y,  539 newpix, (0, 0, 0)
x,  1 y,  540 newpix, (0, 0, 0)
x,  1 y,  541 newpix, (0, 0, 0)
x,  1 y,  542 newpix, (0, 0, 0)
x,  1 y,  543 newpix, (0, 0, 0)
x,  1 y,  544 newpix, (0, 0, 0)
x,  1 y,  545 newpix, (0, 0, 0)
x,  1 y,  546 newpix, (0, 0, 0)
x,  1 y,  547 newpix, (0, 0, 0)
x,  1 y,  548 newpix, (0, 0, 0)
x,  1 y,  549 newpix, (0, 0, 0)
x,  1 y,  550 newpix, (0, 0, 0)
x,  1 y,  551 newpix, (0, 0, 0)
x,  1 y,  552 newpix, (0, 0, 0)
x,  1 y,  553 newpix, (0, 0, 0)
x,  1 y,  554 newpix, (0, 0, 0)
x,  1 y,  555 newpix, (0, 0, 0)
x,  1 y,  556 newpix, (0, 0, 0)
x,  1 y,  557 newpix, (0, 0, 0)
x,  1 y,  558 newpix, (0, 0, 0)
x,  1 y,  559 newpix, (0, 0, 0)
x,  1 y,  560 newpix, (0, 0, 0)
x,  1 y,  561 newpix, (0, 0, 0)
x,  1 y,  562 newpix, (0, 0, 0)
x,  1 y,  563 newpix, (0, 0, 0)
x,  1 y,  564 newpix, (0, 0, 0)
x,  1 y,  565 newpix, (0, 0, 0)
x,  1 y,  566 newpix, (0, 0, 0)
x,  1 y,  567 newpix, (0, 0, 0)
x,  1 y,  568 newpix, (0, 0, 0)
x,  1 y,  569 newpix, (0, 0, 0)
x,  1 y,  570 newpix, (0, 0, 0)
x,  1 y,  571 newpix, (0, 0, 0)
x,  1 y,  572 newpix, (0, 0, 0)
x,  1 y,  573 newpix, (0, 0, 0)
x,  1 y,  574 newpix, (0, 0, 0)
x,  1 y,  575 newpix, (0, 0, 0)
x,  1 y,  576 newpix, (0, 0, 0)
x,  1 y,  577 newpix, (0, 0, 0)
x,  1 y,  578 newpix, (0, 0, 0)
x,  1 y,  579 newpix, (0, 0, 0)
x,  1 y,  580 newpix, (0, 0, 0)
x,  1 y,  581 newpix, (0, 0, 0)
x,  1 y,  582 newpix, (0, 0, 0)
x,  1 y,  583 newpix, (0, 0, 0)
x,  1 y,  584 newpix, (0, 0, 0)
x,  1 y,  585 newpix, (0, 0, 0)
x,  1 y,  586 newpix, (0, 0, 0)
x,  1 y,  587 newpix, (0, 0, 0)
x,  1 y,  588 newpix, (0, 0, 0)
x,  1 y,  589 newpix, (0, 0, 0)
x,  1 y,  590 newpix, (0, 0, 0)
x,  1 y,  591 newpix, (0, 0, 0)
x,  1 y,  592 newpix, (0, 0, 0)
x,  2 y,  500 newpix, (0, 0, 0)
x,  2 y,  501 newpix, (0, 0, 0)
x,  2 y,  502 newpix, (0, 0, 0)
x,  2 y,  503 newpix, (0, 0, 0)
x,  2 y,  504 newpix, (0, 0, 0)
x,  2 y,  505 newpix, (0, 0, 0)
x,  2 y,  506 newpix, (0, 0, 0)
x,  2 y,  507 newpix, (0, 0, 0)
x,  2 y,  508 newpix, (0, 0, 0)
x,  2 y,  509 newpix, (0, 0, 0)
x,  2 y,  510 newpix, (0, 0, 0)
x,  2 y,  511 newpix, (0, 0, 0)
x,  2 y,  512 newpix, (0, 0, 0)
x,  2 y,  513 newpix, (0, 0, 0)
x,  2 y,  514 newpix, (0, 0, 0)
x,  2 y,  515 newpix, (0, 0, 0)
x,  2 y,  516 newpix, (0, 0, 0)
x,  2 y,  517 newpix, (0, 0, 0)
x,  2 y,  518 newpix, (0, 0, 0)
x,  2 y,  519 newpix, (0, 0, 0)
x,  2 y,  520 newpix, (0, 0, 0)
x,  2 y,  521 newpix, (0, 0, 0)
x,  2 y,  522 newpix, (0, 0, 0)
x,  2 y,  523 newpix, (0, 0, 0)
x,  2 y,  524 newpix, (0, 0, 0)
x,  2 y,  525 newpix, (0, 0, 0)
x,  2 y,  526 newpix, (0, 0, 0)
x,  2 y,  527 newpix, (0, 0, 0)
x,  2 y,  528 newpix, (0, 0, 0)
x,  2 y,  529 newpix, (0, 0, 0)
x,  2 y,  530 newpix, (0, 0, 0)
x,  2 y,  531 newpix, (0, 0, 0)
x,  2 y,  532 newpix, (0, 0, 0)
x,  2 y,  533 newpix, (0, 0, 0)
x,  2 y,  534 newpix, (0, 0, 0)
x,  2 y,  535 newpix, (0, 0, 0)
x,  2 y,  536 newpix, (0, 0, 0)
x,  2 y,  537 newpix, (0, 0, 0)
x,  2 y,  538 newpix, (0, 0, 0)
x,  2 y,  539 newpix, (0, 0, 0)
x,  2 y,  540 newpix, (0, 0, 0)
x,  2 y,  541 newpix, (0, 0, 0)
x,  2 y,  542 newpix, (0, 0, 0)
x,  2 y,  543 newpix, (0, 0, 0)
x,  2 y,  544 newpix, (0, 0, 0)
x,  2 y,  545 newpix, (0, 0, 0)
x,  2 y,  546 newpix, (0, 0, 0)
x,  2 y,  547 newpix, (0, 0, 0)
x,  2 y,  548 newpix, (0, 0, 0)
x,  2 y,  549 newpix, (0, 0, 0)
x,  2 y,  550 newpix, (0, 0, 0)
